0	5
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	2
70	15
71	17
72	18
73	37
74	40
75	32
76	40
77	48
78	46
79	41
80	49
81	50
82	30
83	39
84	35
85	21
86	47
87	60
88	63
89	66
90	73
91	71
92	39
93	54
94	55
95	42
96	54
97	56
98	51
99	67
100	86
101	83
102	78
103	98
104	92
105	75
106	112
107	122
108	112
109	134
110	152
111	135
112	133
113	157
114	145
115	96
116	111
117	113
118	85
119	94
120	104
121	95
122	97
123	108
124	101
125	89
126	102
127	98
128	85
129	107
130	121
131	103
132	116
133	128
134	121
135	94
136	109
137	100
138	60
139	92
140	101
141	88
142	94
143	99
144	88
145	83
146	115
147	116
148	87
149	119
150	114
151	73
152	80
153	80
154	64
155	68
156	90
157	87
158	64
159	63
160	54
161	18
162	29
163	35
164	31
165	42
166	51
167	46
168	39
169	55
170	54
171	32
172	52
173	57
174	49
175	62
176	81
177	74
178	86
179	92
180	87
181	60
182	83
183	88
184	66
185	100
186	114
187	100
188	110
189	121
190	113
191	91
192	121
193	122
194	92
195	157
196	179
197	167
198	173
199	188
200	165
201	164
202	219
203	226
204	199
205	259
206	271
207	235
208	260
209	273
210	254
211	246
212	281
213	269
214	215
215	262
216	266
217	225
218	260
219	279
220	261
221	274
222	329
223	328
224	315
225	349
226	344
227	284
228	314
229	316
230	273
231	288
232	325
233	319
234	335
235	382
236	379
237	340
238	387
239	393
240	352
241	376
242	398
243	377
244	372
245	396
246	381
247	329
248	367
249	365
250	328
251	359
252	378
253	350
254	341
255	366
256	354
257	306
258	336
259	327
260	265
261	280
262	279
263	249
264	268
265	295
266	273
267	247
268	285
269	279
270	215
271	266
272	268
273	240
274	250
275	255
276	219
277	199
278	223
279	213
280	158
281	195
282	195
283	152
284	156
285	167
286	143
287	117
288	127
289	114
290	78
291	114
292	117
293	95
294	154
295	164
296	153
297	149
298	155
299	140
300	125
301	161
302	163
303	140
304	191
305	193
306	173
307	208
308	235
309	220
310	219
311	254
312	247
313	233
314	259
315	250
316	228
317	275
318	317
319	317
320	336
321	367
322	358
323	356
324	395
325	395
326	371
327	399
328	407
329	371
330	388
331	422
332	411
333	420
334	461
335	457
336	439
337	461
338	466
339	438
340	446
341	460
342	428
343	421
344	449
345	446
346	476
347	530
348	545
349	520
350	528
351	538
352	503
353	498
354	523
355	508
356	481
357	499
358	490
359	482
360	503
361	506
362	480
363	471
364	484
365	479
366	485
367	503
368	487
369	455
370	476
371	485
372	465
373	481
374	494
375	486
376	471
377	488
378	479
379	445
380	454
381	452
382	419
383	414
384	429
385	414
386	388
387	415
388	406
389	412
390	456
391	457
392	405
393	368
394	366
395	304
396	282
397	314
398	300
399	286
400	329
401	317
402	288
403	314
404	313
405	295
406	309
407	329
408	312
409	269
410	273
411	247
412	202
413	198
414	205
415	177
416	223
417	254
418	229
419	221
420	257
421	244
422	219
423	228
424	233
425	211
426	251
427	265
428	237
429	254
430	290
431	273
432	280
433	329
434	325
435	302
436	309
437	327
438	291
439	308
440	337
441	324
442	332
443	360
444	345
445	325
446	346
447	350
448	356
449	375
450	400
451	386
452	384
453	427
454	425
455	446
456	467
457	476
458	455
459	457
460	476
461	468
462	480
463	492
464	492
465	508
466	497
467	484
468	480
469	482
470	503
471	492
472	499
473	512
474	503
475	509
476	506
477	505
478	496
479	486
480	496
481	496
482	499
483	508
484	492
485	473
486	480
487	484
488	497
489	509
490	510
491	499
492	490
493	501
494	495
495	483
496	501
497	486
498	492
499	492
500	491
501	471
502	435
503	427
504	410
505	401
